hitid,hittypeid,title,description,reward,creationtime,assignments,assignmentid,assignmentaccepttime,assignmentsubmittime,exp,condition,condition_other,filter,response,lang_item,complex_item,simple_item,trial,exp2,measure,total_hit_time,dow,hour,duplicateS,workerid
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2FKW6NG1FS3NHGPBUKSF5SZPEQIYKI,3/10/14 10:49,3/10/14 10:49,4,short,NA,TRUE,complex,"""mipa""",c_3,s_6,NA,4,fc,35,Mon,13,no,3
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2FKW6NG1FS3NHGPBUKSF5SZPEQIYKI,3/10/14 10:49,3/10/14 10:49,4,short,NA,TRUE,complex,"""kiba""",c_4,s_7,NA,4,fc,35,Mon,13,no,3
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2JR6KW4ZMAZH0KXLBVROTNVVTUCH8K,3/10/14 10:50,3/10/14 10:50,4,long,NA,TRUE,complex,"""mipatorun""",c_4,s_6,NA,4,fc,33,Mon,13,yes,4
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2JR6KW4ZMAZH0KXLBVROTNVVTUCH8K,3/10/14 10:50,3/10/14 10:50,4,long,NA,TRUE,complex,"""kibagronan""",c_2,s_8,NA,4,fc,33,Mon,13,yes,4
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2JR6KW4ZMAZH0KXLBVROTNVVTUCH8K,3/10/14 10:50,3/10/14 10:50,4,long,NA,TRUE,complex,"""fepolopus""",c_1,s_7,NA,4,fc,33,Mon,13,yes,4
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2JR6KW4ZMAZH0KXLBVROTNVVTUCH8K,3/10/14 10:50,3/10/14 10:50,4,long,NA,TRUE,complex,"""tupabugorn""",c_3,s_5,NA,4,fc,33,Mon,13,yes,4
2A30XULRGNTB2WSM92WFV7N86VDR5L,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/9/14 10:22,30,258ULF395SW6697FO8EYTJB2RQIDRM,3/9/14 10:28,3/9/14 10:28,4,short,NA,TRUE,simple,"""paku""",c_3,s_7,NA,4,fc,30,Sun,13,no,5
2A30XULRGNTB2WSM92WFV7N86VDR5L,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/9/14 10:22,30,258ULF395SW6697FO8EYTJB2RQIDRM,3/9/14 10:28,3/9/14 10:28,4,short,NA,TRUE,complex,"""fepo""",c_1,s_5,NA,4,fc,30,Sun,13,no,5
2A30XULRGNTB2WSM92WFV7N86VDR5L,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/9/14 10:22,30,258ULF395SW6697FO8EYTJB2RQIDRM,3/9/14 10:28,3/9/14 10:28,4,short,NA,TRUE,complex,"""kiba""",c_4,s_8,NA,4,fc,30,Sun,13,no,5
2A30XULRGNTB2WSM92WFV7N86VDR5L,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/9/14 10:22,30,258ULF395SW6697FO8EYTJB2RQIDRM,3/9/14 10:28,3/9/14 10:28,4,short,NA,TRUE,complex,"""gabu""",c_2,s_6,NA,4,fc,30,Sun,13,no,5
2A30XULRGNTB2WSM92WFV7N86VDR5L,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/9/14 10:22,30,2IBHSTLB3L0FUCFIKGAEPREZQUTUI8,3/9/14 10:27,3/9/14 10:28,4,long,NA,TRUE,simple,"""kibagronan""",c_2,s_5,NA,4,fc,28,Sun,13,no,6
2A30XULRGNTB2WSM92WFV7N86VDR5L,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/9/14 10:22,30,2IBHSTLB3L0FUCFIKGAEPREZQUTUI8,3/9/14 10:27,3/9/14 10:28,4,long,NA,TRUE,complex,"""mipatorun""",c_4,s_7,NA,4,fc,28,Sun,13,no,6
2A30XULRGNTB2WSM92WFV7N86VDR5L,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/9/14 10:22,30,2IBHSTLB3L0FUCFIKGAEPREZQUTUI8,3/9/14 10:27,3/9/14 10:28,4,long,NA,TRUE,complex,"""tiburalex""",c_3,s_6,NA,4,fc,28,Sun,13,no,6
2A30XULRGNTB2WSM92WFV7N86VDR5L,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/9/14 10:22,30,2IBHSTLB3L0FUCFIKGAEPREZQUTUI8,3/9/14 10:27,3/9/14 10:28,4,long,NA,TRUE,complex,"""fepolopus""",c_1,s_8,NA,4,fc,28,Sun,13,no,6
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2GT8N46UXFCDNY3CAYEDYNTOUGTTRG,3/10/14 10:49,3/10/14 10:49,4,short,NA,TRUE,simple,"""mipa""",c_7,s_4,NA,4,fc,27,Mon,13,no,7
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2GT8N46UXFCDNY3CAYEDYNTOUGTTRG,3/10/14 10:49,3/10/14 10:49,4,short,NA,TRUE,complex,"""fepo""",c_8,s_1,NA,4,fc,27,Mon,13,no,7
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2GT8N46UXFCDNY3CAYEDYNTOUGTTRG,3/10/14 10:49,3/10/14 10:49,4,short,NA,TRUE,simple,"""gabu""",c_5,s_2,NA,4,fc,27,Mon,13,no,7
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2GT8N46UXFCDNY3CAYEDYNTOUGTTRG,3/10/14 10:49,3/10/14 10:49,4,short,NA,TRUE,simple,"""paku""",c_6,s_3,NA,4,fc,27,Mon,13,no,7
2A30XULRGNTB2WSM92WFV7N86VDR5L,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/9/14 10:22,30,2HSG5R98D8J3E7DWOXKN4CG7Y1NUE0,3/9/14 10:29,3/9/14 10:29,4,short,NA,TRUE,complex,"""kiba""",c_4,s_7,NA,4,fc,46,Sun,13,no,8
2A30XULRGNTB2WSM92WFV7N86VDR5L,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/9/14 10:22,30,2HSG5R98D8J3E7DWOXKN4CG7Y1NUE0,3/9/14 10:29,3/9/14 10:29,4,short,NA,TRUE,complex,"""tibu""",c_3,s_6,NA,4,fc,46,Sun,13,no,8
2A30XULRGNTB2WSM92WFV7N86VDR5L,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/9/14 10:22,30,2HSG5R98D8J3E7DWOXKN4CG7Y1NUE0,3/9/14 10:29,3/9/14 10:29,4,short,NA,TRUE,simple,"""fepo""",c_2,s_5,NA,4,fc,46,Sun,13,no,8
2A30XULRGNTB2WSM92WFV7N86VDR5L,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/9/14 10:22,30,2HSG5R98D8J3E7DWOXKN4CG7Y1NUE0,3/9/14 10:29,3/9/14 10:29,4,short,NA,TRUE,simple,"""tupa""",c_1,s_8,NA,4,fc,46,Sun,13,no,8
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2BQ7QEOZFYQSK5YTIT6XXDS8U5TJG7,3/10/14 10:49,3/10/14 10:49,4,short,NA,TRUE,simple,"""tupa""",c_7,s_4,NA,4,fc,38,Mon,13,no,9
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2BQ7QEOZFYQSK5YTIT6XXDS8U5TJG7,3/10/14 10:49,3/10/14 10:49,4,short,NA,TRUE,complex,"""gabu""",c_5,s_2,NA,4,fc,38,Mon,13,no,9
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2BQ7QEOZFYQSK5YTIT6XXDS8U5TJG7,3/10/14 10:49,3/10/14 10:49,4,short,NA,TRUE,simple,"""kiba""",c_6,s_3,NA,4,fc,38,Mon,13,no,9
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2BQ7QEOZFYQSK5YTIT6XXDS8U5TJG7,3/10/14 10:49,3/10/14 10:49,4,short,NA,TRUE,simple,"""tibu""",c_8,s_1,NA,4,fc,38,Mon,13,no,9
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2LDYHVI44OS23E089S5ZYBATH4SY4S,3/10/14 10:47,3/10/14 10:47,4,short,NA,TRUE,complex,"""gabu""",c_1,s_5,NA,4,fc,29,Mon,13,no,10
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2LDYHVI44OS23E089S5ZYBATH4SY4S,3/10/14 10:47,3/10/14 10:47,4,short,NA,TRUE,complex,"""mipa""",c_4,s_8,NA,4,fc,29,Mon,13,no,10
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2LDYHVI44OS23E089S5ZYBATH4SY4S,3/10/14 10:47,3/10/14 10:47,4,short,NA,TRUE,complex,"""paku""",c_2,s_6,NA,4,fc,29,Mon,13,no,10
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2LDYHVI44OS23E089S5ZYBATH4SY4S,3/10/14 10:47,3/10/14 10:47,4,short,NA,TRUE,complex,"""fepo""",c_3,s_7,NA,4,fc,29,Mon,13,no,10
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2XBKM05BMJTU0R22CYG9XA7WHPEJEQ,3/10/14 10:49,3/10/14 10:49,4,short,NA,TRUE,simple,"""gabu""",c_7,s_1,NA,4,fc,32,Mon,13,no,11
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2XBKM05BMJTU0R22CYG9XA7WHPEJEQ,3/10/14 10:49,3/10/14 10:49,4,short,NA,TRUE,simple,"""tibu""",c_5,s_3,NA,4,fc,32,Mon,13,no,11
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2XBKM05BMJTU0R22CYG9XA7WHPEJEQ,3/10/14 10:49,3/10/14 10:49,4,short,NA,TRUE,simple,"""tupa""",c_6,s_4,NA,4,fc,32,Mon,13,no,11
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2XBKM05BMJTU0R22CYG9XA7WHPEJEQ,3/10/14 10:49,3/10/14 10:49,4,short,NA,TRUE,simple,"""paku""",c_8,s_2,NA,4,fc,32,Mon,13,no,11
2A30XULRGNTB2WSM92WFV7N86VDR5L,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/9/14 10:22,30,2L2T2D5NQYN5YWW0FLWT4MNG8NF59K,3/9/14 10:33,3/9/14 10:34,4,short,NA,TRUE,simple,"""paku""",c_8,s_3,NA,4,fc,23,Sun,13,no,12
2A30XULRGNTB2WSM92WFV7N86VDR5L,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/9/14 10:22,30,2L2T2D5NQYN5YWW0FLWT4MNG8NF59K,3/9/14 10:33,3/9/14 10:34,4,short,NA,TRUE,complex,"""tibu""",c_6,s_1,NA,4,fc,23,Sun,13,no,12
2A30XULRGNTB2WSM92WFV7N86VDR5L,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/9/14 10:22,30,2L2T2D5NQYN5YWW0FLWT4MNG8NF59K,3/9/14 10:33,3/9/14 10:34,4,short,NA,TRUE,simple,"""kiba""",c_7,s_2,NA,4,fc,23,Sun,13,no,12
2A30XULRGNTB2WSM92WFV7N86VDR5L,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/9/14 10:22,30,2L2T2D5NQYN5YWW0FLWT4MNG8NF59K,3/9/14 10:33,3/9/14 10:34,4,short,NA,TRUE,simple,"""gabu""",c_5,s_4,NA,4,fc,23,Sun,13,no,12
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2NE25L8I9NZWPAKZ2T54WW7XKZ1JTG,3/10/14 10:52,3/10/14 10:52,4,short,NA,TRUE,simple,"""kiba""",c_5,s_2,NA,4,fc,18,Mon,13,no,13
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2NE25L8I9NZWPAKZ2T54WW7XKZ1JTG,3/10/14 10:52,3/10/14 10:52,4,short,NA,TRUE,simple,"""mipa""",c_7,s_4,NA,4,fc,18,Mon,13,no,13
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2NE25L8I9NZWPAKZ2T54WW7XKZ1JTG,3/10/14 10:52,3/10/14 10:52,4,short,NA,TRUE,complex,"""tibu""",c_8,s_1,NA,4,fc,18,Mon,13,no,13
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2NE25L8I9NZWPAKZ2T54WW7XKZ1JTG,3/10/14 10:52,3/10/14 10:52,4,short,NA,TRUE,complex,"""gabu""",c_6,s_3,NA,4,fc,18,Mon,13,no,13
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2QLP9RA7S5WMKZFYOT676JMLX38TYI,3/10/14 10:50,3/10/14 10:51,4,long,NA,TRUE,complex,"""tupabugorn""",c_2,s_7,NA,4,fc,56,Mon,13,no,14
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2QLP9RA7S5WMKZFYOT676JMLX38TYI,3/10/14 10:50,3/10/14 10:51,4,long,NA,TRUE,complex,"""mipatorun""",c_4,s_5,NA,4,fc,56,Mon,13,no,14
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2QLP9RA7S5WMKZFYOT676JMLX38TYI,3/10/14 10:50,3/10/14 10:51,4,long,NA,TRUE,simple,"""tiburalex""",c_1,s_6,NA,4,fc,56,Mon,13,no,14
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2QLP9RA7S5WMKZFYOT676JMLX38TYI,3/10/14 10:50,3/10/14 10:51,4,long,NA,TRUE,complex,"""pakuwugnum""",c_3,s_8,NA,4,fc,56,Mon,13,no,14
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2TAA0RYNJ92N2DS01GDJZUH28V894F,3/10/14 10:48,3/10/14 10:53,4,short,NA,TRUE,complex,"""tupa""",c_3,s_7,NA,4,fc,299,Mon,13,no,15
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2TAA0RYNJ92N2DS01GDJZUH28V894F,3/10/14 10:48,3/10/14 10:53,4,short,NA,TRUE,complex,"""fepo""",c_1,s_5,NA,4,fc,299,Mon,13,no,15
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2TAA0RYNJ92N2DS01GDJZUH28V894F,3/10/14 10:48,3/10/14 10:53,4,short,NA,TRUE,complex,"""mipa""",c_2,s_6,NA,4,fc,299,Mon,13,no,15
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2TAA0RYNJ92N2DS01GDJZUH28V894F,3/10/14 10:48,3/10/14 10:53,4,short,NA,TRUE,complex,"""kiba""",c_4,s_8,NA,4,fc,299,Mon,13,no,15
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2JUHECWA6X3Y75IFWHG5QXPXUG9MLJ,3/10/14 10:43,3/10/14 10:44,4,long,NA,TRUE,simple,"""tiburalex""",c_2,s_6,NA,4,fc,32,Mon,13,no,16
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2JUHECWA6X3Y75IFWHG5QXPXUG9MLJ,3/10/14 10:43,3/10/14 10:44,4,long,NA,TRUE,complex,"""pakuwugnum""",c_1,s_5,NA,4,fc,32,Mon,13,no,16
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2JUHECWA6X3Y75IFWHG5QXPXUG9MLJ,3/10/14 10:43,3/10/14 10:44,4,long,NA,TRUE,simple,"""mipatorun""",c_4,s_8,NA,4,fc,32,Mon,13,no,16
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2JUHECWA6X3Y75IFWHG5QXPXUG9MLJ,3/10/14 10:43,3/10/14 10:44,4,long,NA,TRUE,complex,"""kibagronan""",c_3,s_7,NA,4,fc,32,Mon,13,no,16
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2RQW2GTP9RA7BY2MXB0YYOFBCCDPUC,3/10/14 10:51,3/10/14 10:51,4,short,NA,TRUE,simple,"""gabu""",c_4,s_7,NA,4,fc,51,Mon,13,no,17
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2RQW2GTP9RA7BY2MXB0YYOFBCCDPUC,3/10/14 10:51,3/10/14 10:51,4,short,NA,TRUE,complex,"""fepo""",c_2,s_5,NA,4,fc,51,Mon,13,no,17
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2RQW2GTP9RA7BY2MXB0YYOFBCCDPUC,3/10/14 10:51,3/10/14 10:51,4,short,NA,TRUE,simple,"""kiba""",c_1,s_8,NA,4,fc,51,Mon,13,no,17
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2RQW2GTP9RA7BY2MXB0YYOFBCCDPUC,3/10/14 10:51,3/10/14 10:51,4,short,NA,TRUE,complex,"""paku""",c_3,s_6,NA,4,fc,51,Mon,13,no,17
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,23MHYW2GTP9RT0Y5SRS6FYSSR0RNSY,3/10/14 10:50,3/10/14 10:50,4,long,NA,TRUE,simple,"""tupabugorn""",c_6,s_1,NA,4,fc,36,Mon,13,yes,18
